"CodigoEstacion","CodigoSensor","FechaObservacion","ValorObservado","NombreEstacion","Departamento","Municipio","ZonaHidrografica","Latitud","Longitud","DescripcionSensor","UnidadMedida"
"0036015020","0255","2017-10-03T06:00:00.000","992.5","EL DIAMANTE - AUT","CASANARE","PAZ DE ARIPORO","META","5.816194444","-71.41983333","Presión Atmosferica (1h)","HPa"
"0021195190","0255","2014-02-14T05:00:00.000","785.2","PASCA - AUT","CUNDINAMARCA","PASCA","ALTO MAGDALENA","4.310111111","-74.31175","Presión Atmosferica (1h)","HPa"
"0021015050","0255","2013-09-27T18:00:00.000","805.3","PURACE  - AUT","HUILA","SAN AGUSTÍN","ALTO MAGDALENA","1.925916667","-76.42755556","Presión Atmosferica (1h)","HPa"
"0021115010","0255","2005-11-28T10:00:00.000","958.5","DESIERTO TATACOA","HUILA","VILLAVIEJA","ALTO MAGDALENA","3.234","-75.168","Presión Atmosferica (1h)","HPa"
"0028035060","0255","2008-04-08T04:00:00.000","988.7","FEDEARROZ - AUT","CESAR","VALLEDUPAR","CESAR","10.46361111","-73.24805556","Presión Atmosferica (1h)","HPa"
"0025025360","0255","2015-10-12T06:00:00.000","1006.7","AEROPUERTO LAS FLORES  - AUT","MAGDALENA","EL BANCO","BAJO MAGDALENA","9.046333333","-73.97083333","Presión Atmosferica (1h)","HPa"
"0025025380","0255","2017-11-25T20:00:00.000","1007.2","SAN BENITO ABAD - LA MOJANA TX GPRS/GOES","SUCRE","SAN BENITO ABAD","BAJO MAGDALENA- CAUCA -SAN JORGE","9.164","-75.045","Presión Atmosferica (1h)","HPa"
"0024035430","0255","2015-06-15T06:00:00.000","761.9","TUNGUAVITA - AUT","BOYACÁ","PAIPA","SOGAMOSO","5.745916667","-73.11636111","Presión Atmosferica (1h)","HPa"
"0021215150","0255","2009-12-09T20:00:00.000","605.4","NEVADO DEL TOLIMA  - AUT","TOLIMA","ANZOÁTEGUI","ALTO MAGDALENA","4.670777778","-75.32777778","Presión Atmosferica (1h)","HPa"
"0054077210","0255","2006-01-03T03:00:00.000","1014.8","JUANCHACO - AUT","VALLE DEL CAUCA","BUENAVENTURA","SAN JUÁN","3.925147222","-77.34900556","Presión Atmosferica (1h)","HPa"
"0027015300","0255","2014-03-08T00:00:00.000","753.2","VILLANUEVA","ANTIOQUIA","MEDELLÍN","NECHÍ","6.253","-75.55","Presión Atmosferica (1h)","HPa"
"0026055110","0255","2009-02-14T09:00:00.000","907.2","LA INDEPENDENCIA - AUT","VALLE DEL CAUCA","JAMUNDÍ","CAUCA","3.185361111","-76.56930556","Presión Atmosferica (1h)","HPa"
"0021235030","0255","2010-01-21T16:00:00.000","969.5","UNIVERSIDAD DE CUNDINAMARCA - AUT","CUNDINAMARCA","GIRARDOT","ALTO MAGDALENA","4.305333333","-74.80811111","Presión Atmosferica (1h)","HPa"
"0048015050","0255","2019-08-11T04:00:00.000","1003.9","AEROPUERTO VASQUEZ COBO","AMAZONAS","LETICIA","AMAZONAS - DIRECTOS","-4.193861111","-69.94091667","Presión Atmosferica (1h)","HPa"
"0016040050","0255","2019-04-07T01:00:00.000","810.1","LA MARIA - AUT","NORTE DE SANTANDER","ÁBREGO","CATATUMBO","7.934444444","-73.21166667","Presión Atmosferica (1h)","HPa"
"0021206960","0255","2013-07-09T03:00:00.000","746.9","IDEAM BOGOTA  - AUT","BOGOTA","BOGOTA, D.C","ALTO MAGDALENA","4.6","-74.06666667","Presión Atmosferica (1h)","HPa"
"0021015070","0255","2013-03-02T13:00:00.000","808.6","LOS GUACHAROS  - AUT","HUILA","PALESTINA","ALTO MAGDALENA","1.675833","-76.106841","Presión Atmosferica (1h)","HPa"
"0053075020","0255","2012-04-19T07:00:00.000","834.8","EL DIVISO - AUT","CAUCA","ARGELIA","TAPAJE - DAGUA - DIRECTOS","2.311416667","-77.25877778","Presión Atmosferica (1h)","HPa"
"0026125710","0255","2017-06-23T20:00:00.000","842.1","APTO MATECAÑA TX GPS/GOES","RISARALDA","PEREIRA","CAUCA","4.813","-75.74","Presión Atmosferica (1h)","HPa"
"0025025350","0255","2015-02-23T10:00:00.000","990.5","PUERTA ROJA - AUT","SUCRE","SINCELEJO","BAJO MAGDALENA- CAUCA -SAN JORGE","9.316388889","-75.3875","Presión Atmosferica (1h)","HPa"
